종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
0209D0,KODEX 전고체배터리ESS TOP2플러스,7020,115,1.67,7028.0,,489050,3495,874,-0.11,삼성자산운용 (KODEX)
453080,KIWOOM 미국나스닥100(H),22645,75,0.33,22762.0,7.7302,6293,142,861,-0.51,기타
130730,KIWOOM 단기자금,102680,-5,0.0,102703.0,0.6025,10228,1050,854,-0.02,기타
0066W0,SOL 국제금,12940,240,1.89,12818.0,-14.6219,120759,1559,854,0.95,신한자산운용 (SOL)
329660,KODEX TRF5050,18165,60,0.33,18243.0,0.5736,12789,232,854,-0.43,삼성자산운용 (KODEX)
488720,WON 종합채권(AA-이상)액티브,48330,-110,-0.23,48344.0,-3.506,2366,114,844,-0.03,우리자산운용 (WON)
108450,ACE 삼성그룹섹터가중,38075,380,1.01,38245.0,4.1601,6347,247,838,-0.44,한국투자신탁운용 (ACE)
469060,RISE 미국반도체NYSE,38630,350,0.91,39359.0,28.8765,52951,2065,831,-1.85,KB자산운용 (RISE)
492500,1Q 현대차그룹채권(A+이상)&국고통안,51070,-30,-0.06,51087.0,0.0,135,6,828,-0.03,기타
0017Y0,1Q 종합채권(AA-이상)액티브,93330,-380,-0.41,93406.0,-3.749,145,13,825,-0.08,기타
461460,PLUS 국고채10년액티브,50865,-225,-0.44,50920.0,-4.1644,1796,91,825,-0.11,한화자산운용 (PLUS)
0049M0,ACE 미국배당퀄리티+커버드콜액티브,11880,90,0.76,11912.0,2.0997,28760,341,820,-0.27,한국투자신탁운용 (ACE)
453330,RISE 미국S&P500(H),17760,35,0.2,17790.0,5.1534,7911,140,817,-0.17,KB자산운용 (RISE)
438560,SOL 국고채3년,99875,-45,-0.05,99865.0,-0.5475,261,26,810,0.01,신한자산운용 (SOL)
337140,KODEX 코스피대형주,36515,485,1.35,36526.0,9.1884,18274,691,803,-0.03,삼성자산운용 (KODEX)
434960,DAISHIN343 K200,114710,5855,5.38,110300.0,11.785,244,27,803,4.0,기타
138530,TIGER LG그룹플러스,11400,395,3.59,11415.0,-3.1295,251538,2887,800,-0.13,미래에셋자산운용 (TIGER)
0194T0,ACE SK하이닉스단일종목레버리지,12270,190,1.57,12391.0,,1332336,18168,794,-0.98,한국투자신탁운용 (ACE)
0113D0,TIME 글로벌탑픽액티브,12505,140,1.13,12563.0,3.1706,39627,494,794,-0.46,기타
0057H0,PLUS 미국S&P500미국채혼합50액티브,12360,95,0.77,12346.0,3.448,75640,935,791,0.11,한화자산운용 (PLUS)
495750,HANARO 코리아밸류업,32775,330,1.02,32786.0,14.5368,584,19,787,-0.03,NH-Amundi자산운용 (HANARO)
490480,SOL K방산,27500,610,2.27,27552.0,-32.1993,31230,863,784,-0.19,신한자산운용 (SOL)
0018C0,PLUS 고배당주위클리고정커버드콜,10825,-5,-0.05,10798.0,-15.1967,203739,2199,779,0.25,한화자산운용 (PLUS)
